               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088303,            0.033523,            0.033282,             0.85527,             0.12039,            0.094696,            0.037287,             0.07126,            0.022315,            0.018827,             0.07039,             0.00329,             0.00329
                   1,            0.065615,            0.028181,            0.014048,             0.58839,             0.30487,             0.29297,              0.1307,            0.060276,            0.017495,             0.01013,            0.040062,           0.0062955,           0.0062955
                   2,            0.061703,            0.025805,           0.0092056,              0.5107,             0.33132,             0.25907,            0.094346,            0.061943,            0.016888,           0.0074633,           0.0094039,            0.008971,            0.008971
                   3,            0.055322,            0.024534,           0.0071855,             0.63174,             0.39327,             0.40039,             0.18083,            0.050832,              0.0177,           0.0062175,            0.008515,            0.008515,            0.008515
                   4,             0.04959,            0.024002,            0.005424,             0.61477,             0.34899,             0.36583,             0.17374,            0.048348,            0.019908,           0.0077272,            0.008515,            0.008515,            0.008515
                   5,            0.046744,             0.02348,           0.0050395,             0.71016,               0.461,             0.47368,             0.23452,            0.045943,            0.016557,           0.0047872,             0.00802,             0.00802,             0.00802
                   6,            0.044576,             0.02282,           0.0043336,             0.71912,             0.47809,             0.50557,              0.2378,            0.045893,            0.015642,           0.0041055,            0.007525,            0.007525,            0.007525
                   7,            0.042759,            0.022453,           0.0039665,             0.73563,              0.4658,             0.48588,              0.2415,            0.044442,            0.016668,           0.0052637,             0.00703,             0.00703,             0.00703
                   8,            0.042229,            0.022605,           0.0037368,             0.70169,             0.47151,             0.47463,             0.23613,            0.043355,            0.016571,           0.0044614,            0.006535,            0.006535,            0.006535
                   9,             0.04071,            0.022181,           0.0033761,             0.74347,             0.50702,             0.50849,             0.26268,            0.041876,            0.016689,           0.0041765,             0.00604,             0.00604,             0.00604
                  10,            0.039046,             0.02146,           0.0029389,             0.75122,             0.49079,             0.52068,              0.2755,            0.041468,            0.016072,           0.0036005,            0.005545,            0.005545,            0.005545
                  11,            0.038154,            0.021426,           0.0029988,             0.74174,             0.52163,             0.53448,             0.27852,            0.041048,             0.01577,           0.0035035,             0.00505,             0.00505,             0.00505
                  12,            0.037348,            0.020409,           0.0024708,             0.80659,             0.52172,             0.54492,             0.29252,             0.04042,            0.015993,           0.0036047,            0.004555,            0.004555,            0.004555
                  13,            0.035746,            0.020145,           0.0021352,             0.79534,             0.53655,               0.556,             0.30027,            0.039528,            0.015687,           0.0030742,             0.00406,             0.00406,             0.00406
                  14,            0.035465,            0.019746,           0.0022826,             0.81828,             0.51248,             0.55062,             0.30365,            0.038729,            0.015747,            0.002897,            0.003565,            0.003565,            0.003565
                  15,            0.034101,            0.018875,           0.0018102,             0.77574,             0.53123,              0.5573,             0.30722,            0.038457,            0.015671,           0.0032996,             0.00307,             0.00307,             0.00307
                  16,             0.03378,             0.01912,           0.0016211,             0.79023,             0.54585,              0.5609,             0.31274,            0.038239,            0.015599,           0.0034017,            0.002575,            0.002575,            0.002575
                  17,            0.032532,            0.018822,           0.0017777,             0.80079,             0.54549,             0.58022,             0.32367,            0.037663,            0.015372,           0.0028615,             0.00208,             0.00208,             0.00208
                  18,            0.031897,            0.018275,           0.0016948,             0.59422,             0.56075,             0.57906,             0.32071,            0.037627,            0.015678,           0.0024804,            0.001585,            0.001585,            0.001585
                  19,            0.031326,              0.0184,            0.001416,             0.80224,              0.5423,             0.58221,             0.32694,            0.037121,            0.015695,           0.0026374,             0.00109,             0.00109,             0.00109
